Date,Open,High,Low,Close,Adj Close,Volume
2002-10-18,87.349998,88.989998,86.919998,88.750000,64.536713,409100
2002-10-21,88.099998,90.489998,87.610001,90.190002,65.583870,195800
2002-10-22,89.199997,89.980003,88.550003,89.529999,65.103897,1172300
2002-10-23,88.449997,90.239998,87.650002,90.239998,65.620209,208100
2002-10-24,90.849998,90.860001,88.099998,88.309998,64.216766,304900
2002-10-25,88.400002,90.099998,88.010002,90.099998,65.518425,109000
2002-10-28,91.330002,91.330002,88.830002,89.589996,65.147552,325500
2002-10-29,89.199997,89.400002,87.019997,88.510002,64.362206,201900
2002-10-30,88.550003,89.849998,88.160004,89.389999,65.002113,128200
2002-10-31,89.970001,90.269997,88.220001,88.699997,64.500374,532700
2002-11-01,88.099998,90.730003,88.089996,90.360001,65.707481,169300
2002-11-04,91.669998,92.870003,90.910004,91.139999,66.274689,302800
2002-11-05,91.099998,92.040001,90.989998,91.879997,66.812767,206000
2002-11-06,92.300003,92.989998,90.650002,92.839996,67.510849,489900
2002-11-07,91.900002,92.029999,90.120003,90.629997,65.903816,463700
2002-11-08,90.300003,91.529999,89.500000,89.639999,65.183899,1146400
2002-11-11,89.250000,89.279999,87.760002,88.269997,64.187683,201300
2002-11-12,88.500000,89.870003,88.309998,88.820000,64.587624,938000
2002-11-13,88.150002,89.699997,87.589996,88.629997,64.449493,335600
2002-11-14,90.239998,91.000000,89.760002,90.790001,66.020157,438400
2002-11-15,89.900002,91.559998,89.900002,91.459999,66.507370,219600
2002-11-18,91.910004,92.190002,90.410004,90.559998,65.852921,310600
2002-11-19,90.139999,90.940002,89.660004,90.349998,65.700211,122400
2002-11-20,90.050003,92.099998,90.000000,91.459999,66.507370,271900
2002-11-21,92.699997,94.160004,92.699997,94.160004,68.470749,1117400
2002-11-22,93.389999,94.269997,93.230003,93.580002,68.048988,1759300
2002-11-25,93.580002,94.239998,92.769997,93.879997,68.267120,247600
2002-11-26,93.120003,93.309998,91.680000,91.779999,66.740074,625500
2002-11-27,92.699997,94.650002,92.570000,94.300003,68.572548,574000
2002-11-29,94.430000,94.720001,93.779999,93.779999,68.194420,1245500
2002-12-02,95.470001,96.010002,93.250000,94.129997,68.448921,249100
2002-12-03,93.150002,93.330002,92.349998,92.900002,67.554527,463300
2002-12-04,91.599998,93.120003,91.349998,92.449997,67.227295,391600
2002-12-05,92.580002,92.610001,91.040001,91.279999,66.376488,218500
2002-12-06,90.080002,92.129997,90.000000,92.040001,66.929146,360700
2002-12-09,91.150002,91.339996,89.440002,89.440002,65.038498,403200
2002-12-10,90.239998,91.089996,89.800003,90.639999,65.911087,561300
2002-12-11,90.440002,91.610001,90.250000,90.959999,66.143791,398700
2002-12-12,91.220001,91.470001,90.269997,90.800003,66.027458,315500
2002-12-13,89.989998,90.449997,89.339996,89.339996,64.965775,819700
2002-12-16,89.300003,91.360001,89.300003,91.250000,66.670319,431900
2002-12-17,90.970001,91.260002,90.279999,90.500000,66.122337,356300
2002-12-18,89.900002,89.900002,88.900002,89.459999,65.362473,345700
2002-12-19,89.080002,90.150002,88.099998,88.730003,64.829163,970400
2002-12-20,89.300003,89.970001,89.150002,89.849998,65.647423,505900
2002-12-23,89.220001,90.510002,89.220001,90.110001,65.837395,7531000
2002-12-24,89.500000,89.870003,89.330002,89.470001,65.369797,308700
2002-12-26,89.769997,90.599998,88.820000,89.379997,65.304054,346700
2002-12-27,89.080002,89.110001,87.379997,87.379997,63.842781,717700
2002-12-30,87.680000,88.500000,87.250000,88.129997,64.390732,907900
2002-12-31,87.809998,88.430000,87.089996,88.349998,64.551468,502200
2003-01-02,89.190002,91.180000,88.629997,91.160004,66.604584,215200
2003-01-03,91.040001,91.370003,90.510002,91.370003,66.758057,471400
2003-01-06,91.290001,93.480003,91.290001,93.070000,68.000076,1456100
2003-01-07,92.910004,93.349998,92.169998,92.510002,67.590950,260000
2003-01-08,91.970001,92.339996,91.089996,91.430000,66.801834,142500
2003-01-09,91.699997,93.150002,91.699997,92.889999,67.868546,7340200
2003-01-10,92.290001,93.440002,91.980003,93.099998,68.021996,409700
2003-01-13,93.669998,93.769997,92.379997,93.070000,68.000076,228200
2003-01-14,92.970001,93.419998,92.360001,93.120003,68.036636,2637200
2003-01-15,93.410004,93.500000,91.849998,92.169998,67.342491,401800
2003-01-16,92.529999,92.930000,91.440002,91.639999,66.955261,198100
2003-01-17,90.930000,91.300003,90.110001,90.779999,66.326927,282500
2003-01-21,90.989998,90.989998,89.000000,89.080002,65.084885,459700
2003-01-22,88.650002,89.239998,88.029999,88.029999,64.317711,315300
2003-01-23,88.650002,89.320000,88.000000,88.730003,64.829163,239800
2003-01-24,88.589996,88.589996,86.199997,86.300003,63.053707,1039800
2003-01-27,85.800003,86.639999,84.629997,85.029999,62.125816,270000
2003-01-28,85.500000,86.320000,85.129997,85.830002,62.710316,401400
2003-01-29,85.550003,87.080002,84.820000,86.519997,63.214390,606100
2003-01-30,86.599998,86.820000,84.470001,84.500000,61.738544,258400
2003-01-31,84.339996,86.169998,84.339996,86.169998,62.958687,462600
2003-02-03,85.930000,86.779999,85.930000,86.190002,62.973335,206800
2003-02-04,85.449997,85.449997,84.300003,85.300003,62.323063,181800
2003-02-05,85.730003,86.449997,84.500000,84.820000,61.972370,296300
2003-02-06,84.389999,84.730003,83.570000,83.879997,61.285580,519600
2003-02-07,84.870003,84.940002,83.000000,83.559998,61.051769,238800
2003-02-10,83.400002,84.059998,82.610001,83.949997,61.336704,175000
2003-02-11,84.330002,84.639999,82.900002,83.480003,60.993309,143200
2003-02-12,83.160004,83.599998,82.199997,82.199997,60.058098,183800
2003-02-13,82.099998,82.529999,81.000000,82.290001,60.123882,157000
2003-02-14,82.300003,84.019997,81.940002,84.019997,61.387848,287300
2003-02-18,84.589996,85.790001,84.589996,85.739998,62.644497,198200
2003-02-19,85.400002,85.400002,84.199997,85.059998,62.147697,304000
2003-02-20,85.250000,85.389999,84.050003,84.269997,61.570503,116700
2003-02-21,84.330002,85.650002,83.419998,85.239998,62.279217,79800
2003-02-24,84.910004,84.910004,83.589996,83.589996,61.073711,108100
2003-02-25,82.949997,84.550003,82.180000,84.550003,61.775101,434300
2003-02-26,84.029999,84.290001,83.099998,83.309998,60.869102,106100
2003-02-27,83.599998,84.699997,83.330002,84.349998,61.628944,72000
2003-02-28,84.379997,85.110001,84.150002,84.970001,62.081959,234100
2003-03-03,85.400002,85.769997,83.739998,84.089996,61.438992,96900
2003-03-04,84.050003,84.050003,82.620003,82.769997,60.474556,537700
2003-03-05,82.669998,83.529999,82.360001,83.529999,61.029861,167200
2003-03-06,82.699997,83.220001,82.430000,82.750000,60.459930,352500
2003-03-07,81.529999,83.500000,81.430000,83.449997,60.971378,194200
2003-03-10,82.300003,82.440002,80.750000,81.000000,59.419857,339700
2003-03-11,81.220001,81.610001,80.199997,80.250000,58.869690,235200
2003-03-12,80.169998,80.790001,79.059998,80.790001,59.265827,322300
2003-03-13,81.940002,83.470001,81.180000,83.470001,61.231812,162400
2003-03-14,83.790001,84.410004,83.029999,83.650002,61.363853,186300
2003-03-17,83.000000,86.629997,82.959999,86.430000,63.403179,366400
2003-03-18,86.809998,86.980003,85.970001,86.980003,63.806667,281100
2003-03-19,86.870003,87.779999,86.360001,87.610001,64.268791,394300
2003-03-20,87.199997,88.269997,86.059998,87.870003,64.459541,214900
2003-03-21,88.849998,89.820000,87.910004,89.650002,65.765327,502900
2003-03-24,87.650002,88.080002,86.349998,86.699997,63.601269,1869300
2003-03-25,86.709999,88.230003,86.449997,87.599998,64.261505,382200
2003-03-26,87.449997,87.790001,86.800003,87.010002,63.828667,1572600
2003-03-27,86.309998,87.650002,86.010002,86.980003,63.806667,1437400
2003-03-28,86.309998,87.260002,86.300003,86.750000,63.637985,157600
2003-03-31,85.570000,85.930000,84.419998,84.809998,62.214790,2765500
2003-04-01,85.199997,86.379997,84.940002,86.019997,63.102436,897200
2003-04-02,87.690002,88.750000,87.559998,88.129997,64.650284,611600
2003-04-03,88.739998,88.889999,87.860001,87.860001,64.452240,284400
2003-04-04,88.400002,88.559998,87.669998,88.279999,64.760307,500400
2003-04-07,90.339996,90.820000,88.230003,88.279999,64.760307,428600
2003-04-08,88.230003,88.610001,87.750000,88.239998,64.730995,344600
2003-04-09,88.430000,89.089996,86.879997,87.139999,63.924057,2933900
2003-04-10,87.019997,87.480003,86.559998,87.459999,64.158783,243900
2003-04-11,88.419998,88.660004,86.949997,87.209999,63.975384,117100
2003-04-14,87.360001,89.040001,87.320000,89.040001,65.317856,159100
2003-04-15,88.470001,89.680000,88.470001,89.680000,65.787331,182300
2003-04-16,90.029999,90.029999,88.080002,88.190002,64.694321,204400
2003-04-17,88.400002,89.660004,88.250000,89.570000,65.706642,431200
2003-04-21,89.849998,90.080002,89.059998,89.629997,65.750626,88200
2003-04-22,89.099998,91.550003,88.970001,91.400002,67.049095,765000
2003-04-23,91.440002,92.349998,91.279999,92.080002,67.547897,570100
2003-04-24,91.599998,92.070000,91.000000,91.309998,66.983047,439900
2003-04-25,91.410004,91.449997,90.050003,90.330002,66.264153,81700
2003-04-28,90.410004,92.169998,90.389999,91.809998,67.349823,330100
2003-04-29,91.900002,92.720001,91.410004,92.110001,67.569908,306700
2003-04-30,91.779999,92.570000,91.419998,92.010002,67.496582,417600
2003-05-01,91.949997,92.419998,90.550003,91.989998,67.481903,346300
2003-05-02,91.550003,93.449997,91.550003,93.190002,68.362206,304500
2003-05-05,93.459999,93.709999,92.889999,93.050003,68.259483,692300
2003-05-06,93.150002,94.370003,93.080002,93.860001,68.853714,389700
2003-05-07,93.320000,94.080002,93.050003,93.330002,68.464905,302700
2003-05-08,92.599998,93.300003,92.320000,92.500000,67.855995,144300
2003-05-09,92.769997,93.800003,92.660004,93.769997,68.787659,332600
2003-05-12,93.500000,95.120003,93.349998,94.900002,69.616600,282400
2003-05-13,94.639999,95.160004,94.309998,94.720001,69.484573,271600
2003-05-14,95.269997,95.269997,94.000000,94.540001,69.352539,294400
2003-05-15,95.000000,95.269997,94.309998,95.160004,69.807343,227600
2003-05-16,94.930000,95.430000,94.300003,94.949997,69.653313,229200
2003-05-19,94.250000,94.250000,92.400002,92.730003,68.024750,153300
2003-05-20,92.750000,93.019997,91.599998,92.419998,67.797340,510700
2003-05-21,92.220001,94.220001,91.970001,92.720001,68.017387,1754100
2003-05-22,92.980003,94.050003,92.820000,93.519997,68.604233,200800
2003-05-23,93.589996,94.019997,93.160004,93.779999,68.795013,138000
